Published Date,Date,Stock dated one day after ,Stock dated after hold period ,Stock rate (one day after),Stock rate (after hold period),Net profit or loss,index
2022-08-23T07:00:00Z,2022-08-23,(24 august 2022),(22 november 2022),"2,490.50","2,606.10",115.60,50
2022-08-25,2022-08-25,"1,468.25 (26 august 2022)","1,628.15 (26 december 2022)","1,468.25","1,628.15",159.90,51
2022-09-08T07:00:00Z,2022-09-08,"8,834.95 (9 september 2022)",(8 december 2022),"8,834.95","8,682.25",-152.70,52
2022-09-20T07:00:00Z,2022-09-20,306.00 (12 august 2022),330.80 (12 september 2022),306,330.8,24.8,53
2022-09-27,2022-09-27,"1,381.90 (28 september 2022)","1,512.60 (28 october 2022)","1,381.90","1,512.60",130.70,54
2022-10-06T07:00:00Z,2022-10-06,(7 october 2022),(5 april 2023),"3,798.95","4,328.25",529.30,55
2022-10-11T07:00:00Z,2022-10-11,(12 october 2022),(11 november 2022),"3,310.00","4,008.70",698.70,56
2022-10-12,2022-10-12,"2,375.80 (13 october 2022)","2,525.50 (11 january 2023)","2,375.80","2,525.50",149.70,57
2022-10-13,2022-10-13,"1,487.70 (14 october 2022)","1,584.00 (14 november 2022)","1,487.70","1,584.00",96.30,58
2022-10-17,2022-10-17,"1,452.00 (18 october 2022)","1,585.25 (16 january 2023)","1,452.00","1,585.25",133.25,59
2022-10-24,2022-10-24,"2,498.00 (25 october 2022)","2,429.60 (23 january 2023)","2,498.00","2,429.60",-68.40,60
2022-10-29,2022-10-29,520.55 (30 october 2022),521.25 (29 april 2023),520.55,521.25,0.7,61
2022-11-04T07:00:00Z,2022-11-04,(7 november 2022),(3 february 2023),"1,774.45","2,098.55",324.10,62
2022-11-15,2022-11-15,437.90 (16 november 2022),530.80 (15 may 2023),437.9,530.8,92.9,63
2022-11-21T08:00:00Z,2022-11-21,(22 november 2022),(30 july 2023),696.2,785.95,89.75,64
2022-11-22T08:00:00Z,2022-11-22,"2,040.00 (23 november 2022)","2,216.55 (22 may 2023)","2,040.00","2,216.55",176.55,65
2022-11-28T08:00:00Z,2022-11-28,"8,985.00 (29 november 2022)","8,289.35 (29 march 2023)","8,985.00","8,289.35",-695.65,66
2022-11-29,2022-11-29,520.55 (30 november 2022),521.25 (29 may 2023),520.55,521.25,0.7,67
2022-11-29T08:00:00Z,2022-11-29,(30 november 2022),(30 december 2022),"3,908.95","3,859.35",-49.60,68
2022-12-03T08:00:00Z,2022-12-03,(4 december 2022),(2 june 2023),77,89.81,12.81,69
2022-12-06T08:00:00Z,2022-12-06,"1,612.95 (7 december 2022)","1,492.50 (8 march 2023)","1,612.95","1,492.50",-120.45,70
2022-12-08T08:00:00Z,2022-12-08,(9 december 2022),(9 january 2023),171,170.35,-0.65,71
2022-12-09,2022-12-09,"2,675.05 (12 december 2022)","2,679.85 (8 june 2023)","2,675.05","2,679.85",4.80,72
